id,name,rating,review_count,address,latitude,longitude,price,categories,is_closed
m5JWJd79P3KOt06jsqSfnw,Taishoken - San Mateo,4.3,1843,"47 E 4th Ave, San Mateo, CA 94401",37.56333,-122.3241,$$,"Ramen, Noodles, Soup",False
LOK56FWwSlux2cWOVvpgHQ,The Barrel Bistro And Wine Bar,4.5,634,"246 S B St, San Mateo, CA 94401",37.56567,-122.323,N/A,"Wine Bars, Spanish, French",False
jvB8_TV4zh-w4o4MU_iW5g,Sapporo Rock-N-Roll Sushi Restaurant,4.6,1036,"2456 South El Camino Real, San Mateo, CA 94403",37.54445,-122.30599,$$,"Japanese, Sushi Bars",False
uXC1deP4ycC88hEMQ8WFSg,Lazy Dog Restaurant & Bar,4.3,1295,"2208 Bridgepoint Pkwy, San Mateo, CA 94404",37.56052781821856,-122.28311365330237,$$,"New American, Burgers, Comfort Food",False
agvtM0RkfvJOjWfLneHZ9w,Kajiken,4.4,943,"112 S B St, San Mateo, CA 94401",37.56670069317536,-122.32393182814124,$$,"Japanese, Noodles",False
GozwIEP-J267YAWsX4CPvg,B Street & Vine,4.1,2002,"320 S B St, San Mateo, CA 94401",37.5652478635311,-122.322215884924,$$,"Wine Bars, Tapas/Small Plates, Salad",False
eTNKjvYI9S-Q1f7OFUPqpw,Sushi Maruyama,4.5,545,"279 Baldwin Ave, San Mateo, CA 94401",37.5672876919425,-122.325300980942,$$$,"Japanese, Sushi Bars",False
JgJyp-zQ8RglJKD4xCY0aQ,HiroNori Craft Ramen,4.4,856,"211 E 3rd Ave, San Mateo, CA 94401",37.5653166,-122.3228932,$$,"Noodles, Ramen",False
nxkKJ7z7du3Jwqe4h73Nzg,Sushi Sam's Edomata,4.0,2623,"218 E 3rd Ave, San Mateo, CA 94401",37.5651507709012,-122.32276593824412,$$,"Sushi Bars, Japanese, Noodles",False
7bEgQiicjij9gPVfHiJOeQ,Gao Viet Kitchen & Bar - San Mateo,4.0,1755,"313 S San Mateo Dr, San Mateo, CA 94401",37.56405489324499,-122.32375269530692,$$,"Vietnamese, Seafood, Cocktail Bars",False
